country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2025-11-16,TV,6,Bad Influencer,Bad Influencer: Season 1,2
Brazil,BR,2025-11-16,TV,7,The Witcher,The Witcher: Season 4,3
Brazil,BR,2025-11-16,TV,8,Elize Matsunaga: Once Upon a Crime,Elize Matsunaga: Once Upon a Crime: Season 1,5
Brazil,BR,2025-11-16,TV,9,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,122
Brazil,BR,2025-11-16,TV,10,Stranger Things,,8
Brazil,BR,2025-11-09,TV,1,Rulers of Fortune,Rulers of Fortune: Season 1,2
Brazil,BR,2025-11-09,TV,2,The Witcher,The Witcher: Season 4,2
Brazil,BR,2025-11-09,TV,3,Bad Influencer,Bad Influencer: Season 1,1
Brazil,BR,2025-11-09,TV,4,The Asset,The Asset: Season 1,2
Brazil,BR,2025-11-09,TV,5,Breathless,Breathless: Season 2,1
Brazil,BR,2025-11-09,TV,6,Elize Matsunaga: Once Upon a Crime,Elize Matsunaga: Once Upon a Crime: Season 1,4
Brazil,BR,2025-11-09,TV,7,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,121
Brazil,BR,2025-11-09,TV,8,Heweliusz,Heweliusz: Limited Series,1
Brazil,BR,2025-11-09,TV,9,As You Stood By,As You Stood By: Limited Series,1
Brazil,BR,2025-11-09,TV,10,Stranger Things,,7
Brazil,BR,2025-11-02,TV,1,Rulers of Fortune,Rulers of Fortune: Season 1,1
Brazil,BR,2025-11-02,TV,2,The Asset,The Asset: Season 1,1
Brazil,BR,2025-11-02,TV,3,The Witcher,The Witcher: Season 4,1
Brazil,BR,2025-11-02,TV,4,Nobody Wants This,Nobody Wants This: Season 2,2
Brazil,BR,2025-11-02,TV,5,Physical: Asia,Physical: Asia: Season 1,1
Brazil,BR,2025-11-02,TV,6,The Monster of Florence,The Monster of Florence: Limited Series,2
Brazil,BR,2025-11-02,TV,7,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,120
Brazil,BR,2025-11-02,TV,8,Old Money,Old Money: Season 1,4
Brazil,BR,2025-11-02,TV,9,Amsterdam Empire,Amsterdam Empire: Season 1,1
Brazil,BR,2025-11-02,TV,10,Boots,Boots: Season 1,4
Brazil,BR,2025-10-26,TV,1,The Monster of Florence,The Monster of Florence: Limited Series,1
Brazil,BR,2025-10-26,TV,2,No One Saw Us Leave,No One Saw Us Leave: Season 1,2
Brazil,BR,2025-10-26,TV,3,Old Money,Old Money: Season 1,3
Brazil,BR,2025-10-26,TV,4,Nobody Wants This,Nobody Wants This: Season 2,1
Brazil,BR,2025-10-26,TV,5,Romantics Anonymous,Romantics Anonymous: Season 1,2
